,annee,patho_niv1,patho_niv2,patho_niv3,top,comorbidite,libelle_comorbidite,region,dept,Ncomorb,Ntop,Proportion_comorb,patho_niv2_comorb,patho_niv3_comorb,patho_niv1_comorb,Niveau prioritaire
5475,2017,Maladies neurologiques,,,NEU_CAT_CAT,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,8120.0,1793050.0,0.004527,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,1
5479,2017,Maladies neurologiques,,,NEU_CAT_CAT,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,3910.0,1793050.0,0.002181,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,1
5499,2017,Maladies neurologiques,Autres affections neurologiques,Autres affections neurologiques,NEU_AUT_IND,MCV_EPU_IND,Embolie pulmonaire,99,999,290.0,164830.0,0.001753,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,"2,3"
5516,2017,Maladies neurologiques,Démences (dont maladie d'Alzheimer),Démences (dont maladie d'Alzheimer),NEU_DEM_CAT,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,2050.0,766950.0,0.002666,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,"2,3"
5517,2017,Maladies neurologiques,Démences (dont maladie d'Alzheimer),Démences (dont maladie d'Alzheimer),NEU_DEM_CAT,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,1880.0,766950.0,0.002446,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,"2,3"
5524,2017,Maladies neurologiques,Lésion médullaire,Lésion médullaire,NEU_LME_IND,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,9880.0,92080.0,0.107265,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),"2,3"
5555,2017,Maladies neurologiques,Maladie de Parkinson,Maladie de Parkinson,NEU_PRK_IND,MCV_EPU_IND,Embolie pulmonaire,99,999,1050.0,264420.0,0.00396,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,"2,3"
5558,2017,Maladies neurologiques,Maladie de Parkinson,Maladie de Parkinson,NEU_PRK_IND,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,660.0,264420.0,0.002511,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,"2,3"
5559,2017,Maladies neurologiques,Maladie de Parkinson,Maladie de Parkinson,NEU_PRK_IND,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,560.0,264420.0,0.002099,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,"2,3"
5603,2017,Maladies neurologiques,Sclérose en plaques,Sclérose en plaques,NEU_SEP_IND,MCV_EPU_IND,Embolie pulmonaire,99,999,160.0,108130.0,0.001433,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,"2,3"
5604,2017,Maladies neurologiques,Sclérose en plaques,Sclérose en plaques,NEU_SEP_IND,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,100.0,108130.0,0.000888,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,"2,3"
5624,2017,Maladies neurologiques,Épilepsie,Épilepsie,NEU_EPI_IND,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,1320.0,483930.0,0.002726,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,"2,3"
5625,2017,Maladies neurologiques,Épilepsie,Épilepsie,NEU_EPI_IND,MCV_EPU_IND,Embolie pulmonaire,99,999,1200.0,483930.0,0.002471,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,"2,3"
5629,2017,Maladies psychiatriques,,,PSY_CAT_CAT,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,292290.0,2506600.0,0.116606,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),1
5643,2017,Maladies psychiatriques,,,PSY_CAT_CAT,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,5080.0,2506600.0,0.002025,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,1
5683,2017,Maladies psychiatriques,Déficience mentale,Déficience mentale,PSY_DME_IND,MCV_EPU_IND,Embolie pulmonaire,99,999,150.0,139780.0,0.001095,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,"2,3"
5687,2017,Maladies psychiatriques,Déficience mentale,Déficience mentale,PSY_DME_IND,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,40.0,139780.0,0.000272,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,"2,3"
5704,2017,Maladies psychiatriques,Troubles addictifs,Troubles addictifs,PSY_ADD_CAT,MCV_EPU_IND,Embolie pulmonaire,99,999,1130.0,479160.0,0.002358,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,"2,3"
5727,2017,Maladies psychiatriques,Troubles névrotiques et de l'humeur,Troubles névrotiques et de l'humeur,PSY_TNH_CAT,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,5080.0,1349940.0,0.003763,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,"2,3"
5731,2017,Maladies psychiatriques,Troubles psychiatriques débutant dans l'enfance,Troubles psychiatriques débutant dans l'enfance,PSY_ENF_IND,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,,177790.0,,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,"2,3"
5735,2017,Maladies psychiatriques,Troubles psychiatriques débutant dans l'enfance,Troubles psychiatriques débutant dans l'enfance,PSY_ENF_IND,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,10880.0,177790.0,0.06122,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),"2,3"
5766,2017,Maladies psychiatriques,Troubles psychotiques,Troubles psychotiques,PSY_PSC_IND,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,1160.0,459470.0,0.002514,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,"2,3"
5767,2017,Maladies psychiatriques,Troubles psychotiques,Troubles psychotiques,PSY_PSC_IND,MCV_EPU_IND,Embolie pulmonaire,99,999,1030.0,459470.0,0.002237,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,"2,3"
5769,2017,Maladies psychiatriques,Troubles psychotiques,Troubles psychotiques,PSY_PSC_IND,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,480.0,459470.0,0.001043,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,"2,3"
5781,2017,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,MCV_EPU_IND,Embolie pulmonaire,99,999,9010.0,3593710.0,0.002506,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,"1,2,3"
5802,2017,Maternité (avec ou sans pathologies),Maternité (avec ou sans pathologies),Maternité (avec ou sans pathologies),MAT_CAT_INC,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,50.0,1289420.0,3.6e-05,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,"1,2,3"
5803,2017,"Pas de pathologie repérée, traitement, maternité, hospitalisation ou traitement antalgique ou anti-inflammatoire","Pas de pathologie repérée, traitement, maternité, hospitalisation ou traitement antalgique ou anti-inflammatoire","Pas de pathologie repérée, traitement, maternité, hospitalisation ou traitement antalgique ou anti-inflammatoire",POP_TOT_ABS,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,,35301830.0,,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,"1,2,3"
5833,2017,"Traitement antalgique ou anti-inflammatoire (hors pathologies, traitements, maternité ou hospitalisations)","Traitement antalgique ou anti-inflammatoire (hors pathologies, traitements, maternité ou hospitalisations)","Traitement antalgique ou anti-inflammatoire (hors pathologies, traitements, maternité ou hospitalisations)",TAA_CAT_EXC,MCV_EPU_IND,Embolie pulmonaire,99,999,,1215490.0,,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,"1,2,3"
5861,2017,Traitements du risque vasculaire (hors pathologies),,,TFC_CAT_EXC,MCV_EPU_IND,Embolie pulmonaire,99,999,11610.0,8550380.0,0.001358,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,1
5897,2017,Traitements du risque vasculaire (hors pathologies),Traitements hypolipémiants (hors pathologies),Traitements hypolipémiants (hors pathologies),TFC_LIP_EXC,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,7230.0,3296250.0,0.002194,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,"2,3"
5919,2017,Traitements psychotropes (hors pathologies),,,TPS_CAT_EXC,MCV_EPU_IND,Embolie pulmonaire,99,999,10490.0,5712910.0,0.001837,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,1
5937,2017,Traitements psychotropes (hors pathologies),Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies),Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies),TPS_ADR_EXC,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,5320.0,2924930.0,0.001817,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,"2,3"
5961,2017,Traitements psychotropes (hors pathologies),Traitements hypnotiques (hors pathologies),Traitements hypnotiques (hors pathologies),TPS_HYP_EXC,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,204740.0,1445890.0,0.141604,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),"2,3"
5971,2017,Traitements psychotropes (hors pathologies),Traitements hypnotiques (hors pathologies),Traitements hypnotiques (hors pathologies),TPS_HYP_EXC,MCV_EPU_IND,Embolie pulmonaire,99,999,3120.0,1445890.0,0.002159,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,"2,3"
5980,2017,Traitements psychotropes (hors pathologies),Traitements neuroleptiques (hors pathologies),Traitements neuroleptiques (hors pathologies),TPS_NLE_EXC,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,30810.0,320700.0,0.09608,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),"2,3"
6010,2021,Cancers,,,CAN_CAT_CAT,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,402710.0,3369040.0,0.119533,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),1
6034,2021,Cancers,Autres cancers,,CAN_AUT_CAT,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,14960.0,1817370.0,0.008232,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,2
6038,2021,Cancers,Autres cancers,,CAN_AUT_CAT,MCV_EPU_IND,Embolie pulmonaire,99,999,7890.0,1817370.0,0.004341,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,2
6041,2021,Cancers,Autres cancers,Autres cancers actifs,CAN_AUT_ACT,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,108350.0,869270.0,0.124646,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),3
6061,2021,Cancers,Autres cancers,Autres cancers sous surveillance,CAN_AUT_SUR,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,102410.0,948100.0,0.108015,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),3
6088,2021,Cancers,Cancer bronchopulmonaire,,CAN_BPU_CAT,MCV_EPU_IND,Embolie pulmonaire,99,999,2260.0,161190.0,0.014008,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,2
6112,2021,Cancers,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,CAN_BPU_SUR,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,,58710.0,,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,3
6135,2021,Cancers,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,CAN_BPU_SUR,MCV_EPU_IND,Embolie pulmonaire,99,999,330.0,58710.0,0.005689,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,3
6139,2021,Cancers,Cancer colorectal,,CAN_CRE_CAT,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,42570.0,373700.0,0.113913,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),2
6149,2021,Cancers,Cancer colorectal,,CAN_CRE_CAT,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,2000.0,373700.0,0.005349,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,2
6151,2021,Cancers,Cancer colorectal,,CAN_CRE_CAT,MCV_EPU_IND,Embolie pulmonaire,99,999,1910.0,373700.0,0.005098,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,2
6169,2021,Cancers,Cancer colorectal,Cancer colorectal actif,CAN_CRE_ACT,MCV_EPU_IND,Embolie pulmonaire,99,999,1220.0,141930.0,0.008624,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,3
6190,2021,Cancers,Cancer colorectal,Cancer colorectal sous surveillance,CAN_CRE_SUR,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,1580.0,231770.0,0.00683,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,3
6191,2021,Cancers,Cancer colorectal,Cancer colorectal sous surveillance,CAN_CRE_SUR,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,920.0,231770.0,0.003987,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,3
6217,2021,Cancers,Cancer de la prostate,Cancer de la prostate actif,CAN_PRO_ACT,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,24170.0,216090.0,0.111862,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),3
6230,2021,Cancers,Cancer de la prostate,Cancer de la prostate actif,CAN_PRO_ACT,MCV_EPU_IND,Embolie pulmonaire,99,999,890.0,216090.0,0.0041,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,3
6248,2021,Cancers,Cancer de la prostate,Cancer de la prostate sous surveillance,CAN_PRO_SUR,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,1670.0,332200.0,0.005021,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,3
6250,2021,Cancers,Cancer de la prostate,Cancer de la prostate sous surveillance,CAN_PRO_SUR,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,1280.0,332200.0,0.003847,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,3
6256,2021,Cancers,Cancer du sein de la femme,,CAN_SEI_CAT,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,61910.0,732510.0,0.084514,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),2
6267,2021,Cancers,Cancer du sein de la femme,,CAN_SEI_CAT,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,2590.0,732510.0,0.003541,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,2
6268,2021,Cancers,Cancer du sein de la femme,,CAN_SEI_CAT,MCV_EPU_IND,Embolie pulmonaire,99,999,2260.0,732510.0,0.00308,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,2
6280,2021,Cancers,Cancer du sein de la femme,Cancer du sein de la femme actif,CAN_SEI_ACT,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,18470.0,231350.0,0.079836,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),3
6288,2021,Cancers,Cancer du sein de la femme,Cancer du sein de la femme actif,CAN_SEI_ACT,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,450.0,231350.0,0.001932,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,3
6298,2021,Cancers,Cancer du sein de la femme,Cancer du sein de la femme sous surveillance,CAN_SEI_SUR,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,43440.0,501160.0,0.086673,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),3
6312,2021,Cancers,Cancer du sein de la femme,Cancer du sein de la femme sous surveillance,CAN_SEI_SUR,MCV_EPU_IND,Embolie pulmonaire,99,999,1150.0,501160.0,0.002285,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,3
6317,2021,Diabète,Diabète,Diabète,DIA_CAT_CAT,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,492230.0,4147840.0,0.118672,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),"1,2,3"
6332,2021,Diabète,Diabète,Diabète,DIA_CAT_CAT,MCV_EPU_IND,Embolie pulmonaire,99,999,7700.0,4147840.0,0.001856,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,"1,2,3"
6338,2021,Hospitalisation pour Covid-19,Hospitalisation pour Covid-19,Hospitalisation pour Covid-19,INF_COV_HOS,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,53770.0,245340.0,0.219159,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),"1,2,3"
6353,2021,Hospitalisation pour Covid-19,Hospitalisation pour Covid-19,Hospitalisation pour Covid-19,INF_COV_HOS,MCV_EPU_IND,Embolie pulmonaire,99,999,2490.0,245340.0,0.010133,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,"1,2,3"
6362,2021,"Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité)","Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité)","Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité)",HHP_CAT_INC,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,941760.0,9658880.0,0.097502,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),"1,2,3"
6387,2021,Insuffisance rénale chronique terminale,,,IRT_CAT_CAT,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,13440.0,100300.0,0.134029,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),1
6407,2021,Insuffisance rénale chronique terminale,Dialyse chronique,Dialyse chronique,IRT_DCH_CAT,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,9620.0,56440.0,0.17042,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),"2,3"
6420,2021,Insuffisance rénale chronique terminale,Dialyse chronique,Dialyse chronique,IRT_DCH_CAT,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,310.0,56440.0,0.005439,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,"2,3"
6422,2021,Insuffisance rénale chronique terminale,Dialyse chronique,Dialyse chronique,IRT_DCH_CAT,MCV_EPU_IND,Embolie pulmonaire,99,999,150.0,56440.0,0.002569,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,"2,3"
6437,2021,Insuffisance rénale chronique terminale,Suivi de transplantation rénale,Suivi de transplantation rénale,IRT_TRE_CHR,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,170.0,40800.0,0.004191,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,"2,3"
6440,2021,Insuffisance rénale chronique terminale,Transplantation rénale,Transplantation rénale,IRT_TRE_AIG,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,,3050.0,,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,"2,3"
6442,2021,Insuffisance rénale chronique terminale,Transplantation rénale,Transplantation rénale,IRT_TRE_AIG,MCV_EPU_IND,Embolie pulmonaire,99,999,,3050.0,,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,"2,3"
6492,2021,Maladies cardioneurovasculaires,Accident vasculaire cérébral,Accident vasculaire cérébral aigu,MCV_AVC_AIG,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,570.0,121490.0,0.004684,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,3
6534,2021,Maladies cardioneurovasculaires,Autres affections cardiovasculaires,Autres affections cardiovasculaires,MCV_AUT_IND,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,59090.0,395730.0,0.149322,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),"2,3"
6548,2021,Maladies cardioneurovasculaires,Autres affections cardiovasculaires,Autres affections cardiovasculaires,MCV_AUT_IND,MCV_EPU_IND,Embolie pulmonaire,99,999,1240.0,395730.0,0.003131,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,"2,3"
6555,2021,Maladies cardioneurovasculaires,Embolie pulmonaire,Embolie pulmonaire,MCV_EPU_IND,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,10890.0,50090.0,0.217324,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),"2,3"
6563,2021,Maladies cardioneurovasculaires,Embolie pulmonaire,Embolie pulmonaire,MCV_EPU_IND,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,1920.0,50090.0,0.03841,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,"2,3"
6578,2021,Maladies cardioneurovasculaires,Insuffisance cardiaque,,MCV_ICA_CAT,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,202540.0,830490.0,0.243878,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),2
6590,2021,Maladies cardioneurovasculaires,Insuffisance cardiaque,,MCV_ICA_CAT,MCV_EPU_IND,Embolie pulmonaire,99,999,6970.0,830490.0,0.008391,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,2
6606,2021,Maladies cardioneurovasculaires,Insuffisance cardiaque,Insuffisance cardiaque aiguë,MCV_ICA_AIG,MCV_EPU_IND,Embolie pulmonaire,99,999,1700.0,182570.0,0.009317,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,3
6608,2021,Maladies cardioneurovasculaires,Insuffisance cardiaque,Insuffisance cardiaque aiguë,MCV_ICA_AIG,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,1200.0,182570.0,0.006567,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,3
6626,2021,Maladies cardioneurovasculaires,Insuffisance cardiaque,Insuffisance cardiaque chronique,MCV_ICA_CHR,MCV_EPU_IND,Embolie pulmonaire,99,999,5270.0,647920.0,0.008131,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,3
6667,2021,Maladies cardioneurovasculaires,Maladie coronaire,Maladie coronaire chronique,MCV_SCO_CHR,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,15790.0,2071100.0,0.007623,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,3
6669,2021,Maladies cardioneurovasculaires,Maladie coronaire,Maladie coronaire chronique,MCV_SCO_CHR,MCV_EPU_IND,Embolie pulmonaire,99,999,5670.0,2071100.0,0.00274,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,3
6677,2021,Maladies cardioneurovasculaires,Maladie coronaire,Syndrome coronaire aigu,MCV_SCO_AIG,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,15250.0,102040.0,0.149405,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),3
6689,2021,Maladies cardioneurovasculaires,Maladie coronaire,Syndrome coronaire aigu,MCV_SCO_AIG,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,700.0,102040.0,0.006841,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,3
6693,2021,Maladies cardioneurovasculaires,Maladie coronaire,Syndrome coronaire aigu,MCV_SCO_AIG,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,400.0,102040.0,0.003881,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,3
6705,2021,Maladies cardioneurovasculaires,Maladie valvulaire,Maladie valvulaire,MCV_MVA_IND,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,2710.0,461030.0,0.005872,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,"2,3"
6754,2021,Maladies inflammatoires ou rares ou infection VIH,,,IRV_CAT_CAT,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,136490.0,1367280.0,0.099823,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),1
6766,2021,Maladies inflammatoires ou rares ou infection VIH,,,IRV_CAT_CAT,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,4890.0,1367280.0,0.003574,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,1
6804,2021,Maladies inflammatoires ou rares ou infection VIH,Maladies inflammatoires chroniques,,IFL_CAT_CAT,MCV_EPU_IND,Embolie pulmonaire,99,999,2420.0,1026940.0,0.002354,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,2
6846,2021,Maladies inflammatoires ou rares ou infection VIH,Maladies inflammatoires chroniques,Maladies inflammatoires chroniques intestinales,IFL_MIC_IND,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,710.0,293430.0,0.002406,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,3
